"Ημερομηνία","Ημέρα","AM","Επίθετο","Ονομα","Διεύθυνση","Συμπληρωματική Διεύθυνση","Δήμος Κοινότητα","Τηλέφωνο 
14/01/21,"Πέμπτη",570,"Ταμπουλλής","Μιχάλης","Αγίου Λαζάρου 50-52","Πλησίον Εκκλησίας Αγίου Λαζάρου","Λάρνακα",24628869,"24362890"
15/01/21,"Παρασκευή",1171,"Καραγιάννη","Άρτεμις","Πηλίου 5","Δρόμος Λεμεσού","Λάρνακα",24624555,"96796010"
15/01/21,"Παρασκευή",417,"Ευλαβής","Ανδρέας","Γρηγ. Αυξεντίου και Νικ. Μυλωνά, γωνία","Μέγαρο Κάριδερς, φώτα Αμερικανικής Ακαδημίας","Λάρνακα",24651317,"24662689"
16/01/21,"Σάββατο",724,"Χριστοφόρου","Ανδρέας","Λαρίσσης 21","Καμάρες - Προς Λεμεσό 400μ. μετά από το Cineplex","Λάρνακα",24364270,"24646753"
16/01/21,"Σάββατο",720,"Σωκράτους - Κυπριανού","Ελένη","Κιλκίς 15 - 17","Ανδρούλλα Court πλησίον Σχολής Καλογραιών","Λάρνακα",24651035,"24624163"
17/01/21,"Κυριακή",978,"Πασχάλης","Κωνσταντίνος","Λεωφ. Κωνσταντίνου Παλαιολόγου 37","Δρόμος Α.Η.Κ","Λάρνακα",24662233,"99489611"
17/01/21,"Κυριακή",1090,"Ζόππου","Κωνσταντίνος","Λεωφ. Γρηγόρη Αυξεντίου 40","Έναντι Δημοτική Βιβλιοθήκη. Κάτω από κλινική Δρ. Σίμου Κυριακίδη","Λάρνακα",24400450,"24651003"
18/01/21,"Δευτέρα",758,"Καλαϊτζή","Άντρη","Λεωφ. Ηνωμένων Πολιτειών 9","Δρόμος Νέου Νοσοκομείου εκκλησία Αγίου Γεωργίου Κοντού","Λάρνακα",24638387,"24532906"
18/01/21,"Δευτέρα",662,"Σμυρίλλη - Πύλα","Χριστίνα","Νικοδήμου Μυλωνά 12  ","Έναντι Υπεραγοράς ΜΕΤΡΟ","Λάρνακα",24650777,"24821580"
19/01/21,"Τρίτη",826,"Ιακωβίδης","Σταύρος","Λεωφ. Φανερωμένης αρ. 189-191",,"Λάρνακα",24637499,"24657045"
19/01/21,"Τρίτη",1040,"Ελευθερίου","Βασιλική","Παύλου Βαλδασερίδη 30","Δρόμος CARREFOUR, έναντι ΖΟΡΠΑΣ","Λάρνακα",24103501,"24103909"
20/01/21,"Τετάρτη",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
20/01/21,"Τετάρτη",599,"Σεβέρης","Μάριος","Παύλου Βαλδασερίδη 8","Πλησίον CARREFOUR","Λάρνακα",24639410,"24662497"
21/01/21,"Πέμπτη",282,"Χριστοδούλου","Παύλος","Ερμού 51Γ",,"Λάρνακα",24652702,"24360054"
21/01/21,"Πέμπτη",363,"Ανδρέου","Δέσποινα","Λεωφ. Αρτέμιδος 30","Δρόμος Αεροδρομίου","Λάρνακα",24656884,"24361084"
22/01/21,"Παρασκευή",588,"Χριστοδούλου","Μαργαρίτα","Γωνία Αρμενικής Εκκλησίας 2","Πλησίον CYTA, Κέντρο πόλεως","Λάρνακα",24652440,"24626763"
22/01/21,"Παρασκευή",954,"Περικλέους","Ζόριτσα","Λεωφ. Γρίβα Διγενή 24","Μεταξύ φώτων Δροσιάς και φώτων πυροσβεστικής, έναντι ESSO","Λάρνακα",24624374,"24645918"
23/01/21,"Σάββατο",743,"Λάμπη","Μαρία","Αρχ. Μακαρίου ΙΙΙ & Γρηγ. Αυξεντίου","Ακάμια Center","Λάρνακα",24626447,"24361185"
23/01/21,"Σάββατο",698,"Ζόππου","Γεωργία","Λεωφ. Φανερωμένης 122","Πλησίον Ελληνικής Τράπεζας","Λάρνακα",24622810,"24651003"
24/01/21,"Κυριακή",466,"Αποστολίδης","Παύλος","Κοσμά  Λυσιώτη 20","Τέρμα Ερμού προς παραλία","Λάρνακα",24627213,"24423271"
24/01/21,"Κυριακή",546,"Βέρνη","Λένια","Γιάννου Κρανιδιώτη 31-33","Μεταξύ Τροχαίας Λάρνακας & Κτηνιατρείου","Λάρνακα",24638470,"24533055"
25/01/21,"Δευτέρα",720,"Σωκράτους - Κυπριανού","Ελένη","Κιλκίς 15 - 17","Ανδρούλλα Court πλησίον Σχολής Καλογραιών","Λάρνακα",24651035,"24624163"
25/01/21,"Δευτέρα",759,"Συνεσίου","Μαρία","Λεωφ.Στρ.Τιμάγια 5","Μέγαρο Κυριάκος, Δίπλα από Marks & Spencer","Λάρνακα",24638765,"24634887"
26/01/21,"Τρίτη",697,"Δημητρίου","Ανδρέας","Αρχ. Μακαρίου ΙΙΙ 44","Φωτα  ΕΘΝΙΚΗΣ τραπεζας - εναντι SAMSONITE","Λάρνακα",24822422,"24812188"
26/01/21,"Τρίτη",693,"Παπαδοπούλου","Λίζα","Φανερωμένης 143","Έναντι Αποθήκης Σόλων Νεοφύτου","Λάρνακα",24654380,"24624699"
27/01/21,"Τετάρτη",461,"Καίμης","Κύπρος","Αρχιεπισκόπου Μακαρίου ΙΙΙ 88","Έναντι PEUGEOT","Λάρνακα",24637044,"24626339"
27/01/21,"Τετάρτη",971,"Ιωαννίδου","Χρυστάλλα","1ης Απριλίου 14",,"Λάρνακα",24650565,"99917405"
28/01/21,"Πέμπτη",897,"Γρηγοράς","Αντώνης","Κυριάκου Μάτση  14","Θέατρο ""Σκάλα"" κάτω από Διόφαντο","Λάρνακα",24626332,"24657217"
28/01/21,"Πέμπτη",586,"Μαυρή","Λουίζα","Στρατηγού Τιμάγια 9","Συντεχνιακό φαρμακείο ΠΕΟ","Λάρνακα",24655312,"96720773"
29/01/21,"Παρασκευή",972,"Θεοφάνους","Δέσπω","Λόρδου Βύρωνος και Γλαύστωνος 1","Έναντι Costa Coffee","Λάρνακα",24622522,"24720083"
29/01/21,"Παρασκευή",500,"Γεωργίου","Λευτέρης","Λεωφ. Αγίων Αναργύρων 50","Πλησίον Τεχνικής Σχολής","Λάρνακα",24631390,"99533388"
30/01/21,"Σάββατο",630,"Σεργίου","Ανδρέας","Αρχ. Μακαρίου 9","Πλήσιον Αστυνομικού Σταθμού Λάρνακας","Λάρνακα",24623110,"24530445"
30/01/21,"Σάββατο",759,"Συνεσίου","Μαρία","Λεωφ.Στρ.Τιμάγια 5","Μέγαρο Κυριάκος, Δίπλα από Marks & Spencer","Λάρνακα",24638765,"24634887"
31/01/21,"Κυριακή",494,"Σταύρου","Μέλιος","Ερμού 41 & Βασιλέως Ευαγόρου 8 ","Έναντι Beauty  Line","Λάρνακα",24628041,"24531731"
31/01/21,"Κυριακή",700,"Κληρίδης","Αντώνης","Πατρών 6","Μεταξύ Κεντρικής Συνεργατικής Τράπεζας και φρουταρίας ¨Ζυγός¨","Λάρνακα",24622754,"24367765"
01/02/21,"Δευτέρα",328,"Ευλαβή","Κατερίνα","Αρχ. Μακαρίου 65Α","Πλησίον ΤΑΙΠΕΙ Κινέζικο εστιατόριο","Λάρνακα",24656469,"24662689"
01/02/21,"Δευτέρα",532,"Ασπρής","Νίκος","Λεωφόρος  Αρτέμιδος 48","Έναντι Ξεν/χείου ΛΑΓΙΩΤΗ","Λάρνακα",24624928,"24622102"
02/02/21,"Τρίτη",773,"Καλαϊτζή","Παναγιώτα","Λεωφ. Λεοντίου Μαχαιρά 20Α","Εναντι πρωην Υπ.Σαρρη νυν SUPER DISCOUNT","Λάρνακα",24651205,"24819102"
02/02/21,"Τρίτη",1113,"Παναγιώτου","Μικαέλλα","Λεωφ. Παπανικολή 39","Απέναντι από το Στάδιο Αντώνης Παπαδόπουλος (Ανόρθωσης)","Λάρνακα",24251166,"24663635"
03/02/21,"Τετάρτη",680,"Ορφανίδης","Μισιέλ","Ερμού 24","Αρχή της Ερμού - 50μ. Από φώτα Ακρόπολης","Λάρνακα",24621360,"24531859"
03/02/21,"Τετάρτη",1116,"Συμεού","Ελένη","Ραφαήλ Σάντη 15","Απέναντι από κλινική Τίμιου Σταυρού","Λάρνακα",24254008,"99921940"
04/02/21,"Πέμπτη",328,"Ευλαβή","Κατερίνα","Αρχ. Μακαρίου 65Α","Πλησίον ΤΑΙΠΕΙ Κινέζικο εστιατόριο","Λάρνακα",24656469,"24662689"
04/02/21,"Πέμπτη",1109,"Παπανδριανός","Σπύρος","Λεωφ. Γιάννου Κρανιδιώτη 30","Πάρκινγκ ΑΛΦΑ ΜΕΓΑ","Λάρνακα",24660688,"99970233"
05/02/21,"Παρασκευή",570,"Ταμπουλλής","Μιχάλης","Αγίου Λαζάρου 50-52","Πλησίον Εκκλησίας Αγίου Λαζάρου","Λάρνακα",24628869,"24362890"
05/02/21,"Παρασκευή",657,"Κουλουμά Δημητρίου","Άννα","Ηνωμένων Εθνών 16Α","Δρόμος Λάρνακας-Λεμεσού","Λάρνακα",24642333,"24661155"
06/02/21,"Σάββατο",417,"Ευλαβής","Ανδρέας","Γρηγ. Αυξεντίου και Νικ. Μυλωνά, γωνία","Μέγαρο Κάριδερς, φώτα Αμερικανικής Ακαδημίας","Λάρνακα",24651317,"24662689"
06/02/21,"Σάββατο",1171,"Καραγιάννη","Άρτεμις","Πηλίου 5","Δρόμος Λεμεσού","Λάρνακα",24624555,"96796010"
07/02/21,"Κυριακή",720,"Σωκράτους - Κυπριανού","Ελένη","Κιλκίς 15 - 17","Ανδρούλλα Court πλησίον Σχολής Καλογραιών","Λάρνακα",24651035,"24624163"
07/02/21,"Κυριακή",724,"Χριστοφόρου","Ανδρέας","Λαρίσσης 21","Καμάρες - Προς Λεμεσό 400μ. μετά από το Cineplex","Λάρνακα",24364270,"24646753"
08/02/21,"Δευτέρα",1090,"Ζόππου","Κωνσταντίνος","Λεωφ. Γρηγόρη Αυξεντίου 40","Έναντι Δημοτική Βιβλιοθήκη. Κάτω από κλινική Δρ. Σίμου Κυριακίδη","Λάρνακα",24400450,"24651003"
08/02/21,"Δευτέρα",978,"Πασχάλης","Κωνσταντίνος","Λεωφ. Κωνσταντίνου Παλαιολόγου 37","Δρόμος Α.Η.Κ","Λάρνακα",24662233,"99489611"
09/02/21,"Τρίτη",662,"Σμυρίλλη - Πύλα","Χριστίνα","Νικοδήμου Μυλωνά 12  ","Έναντι Υπεραγοράς ΜΕΤΡΟ","Λάρνακα",24650777,"24821580"
09/02/21,"Τρίτη",758,"Καλαϊτζή","Άντρη","Λεωφ. Ηνωμένων Πολιτειών 9","Δρόμος Νέου Νοσοκομείου εκκλησία Αγίου Γεωργίου Κοντού","Λάρνακα",24638387,"24532906"
10/02/21,"Τετάρτη",1040,"Ελευθερίου","Βασιλική","Παύλου Βαλδασερίδη 30","Δρόμος CARREFOUR, έναντι ΖΟΡΠΑΣ","Λάρνακα",24103501,"24103909"
10/02/21,"Τετάρτη",826,"Ιακωβίδης","Σταύρος","Λεωφ. Φανερωμένης αρ. 189-191",,"Λάρνακα",24637499,"24657045"
11/02/21,"Πέμπτη",599,"Σεβέρης","Μάριος","Παύλου Βαλδασερίδη 8","Πλησίον CARREFOUR","Λάρνακα",24639410,"24662497"
11/02/21,"Πέμπτη",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
12/02/21,"Παρασκευή",363,"Ανδρέου","Δέσποινα","Λεωφ. Αρτέμιδος 30","Δρόμος Αεροδρομίου","Λάρνακα",24656884,"24361084"
12/02/21,"Παρασκευή",282,"Χριστοδούλου","Παύλος","Ερμού 51Γ",,"Λάρνακα",24652702,"24360054"
13/02/21,"Σάββατο",954,"Περικλέους","Ζόριτσα","Λεωφ. Γρίβα Διγενή 24","Μεταξύ φώτων Δροσιάς και φώτων πυροσβεστικής, έναντι ESSO","Λάρνακα",24624374,"24645918"
13/02/21,"Σάββατο",588,"Χριστοδούλου","Μαργαρίτα","Γωνία Αρμενικής Εκκλησίας 2","Πλησίον CYTA, Κέντρο πόλεως","Λάρνακα",24652440,"24626763"
14/02/21,"Κυριακή",698,"Ζόππου","Γεωργία","Λεωφ. Φανερωμένης 122","Πλησίον Ελληνικής Τράπεζας","Λάρνακα",24622810,"24651003"
14/02/21,"Κυριακή",743,"Λάμπη","Μαρία","Αρχ. Μακαρίου ΙΙΙ & Γρηγ. Αυξεντίου","Ακάμια Center","Λάρνακα",24626447,"24361185"
15/02/21,"Δευτέρα",546,"Βέρνη","Λένια","Γιάννου Κρανιδιώτη 31-33","Μεταξύ Τροχαίας Λάρνακας & Κτηνιατρείου","Λάρνακα",24638470,"24533055"
15/02/21,"Δευτέρα",466,"Αποστολίδης","Παύλος","Κοσμά  Λυσιώτη 20","Τέρμα Ερμού προς παραλία","Λάρνακα",24627213,"24423271"
16/02/21,"Τρίτη",759,"Συνεσίου","Μαρία","Λεωφ.Στρ.Τιμάγια 5","Μέγαρο Κυριάκος, Δίπλα από Marks & Spencer","Λάρνακα",24638765,"24634887"
16/02/21,"Τρίτη",586,"Μαυρή","Λουίζα","Στρατηγού Τιμάγια 9","Συντεχνιακό φαρμακείο ΠΕΟ","Λάρνακα",24655312,"96720773"
17/02/21,"Τετάρτη",693,"Παπαδοπούλου","Λίζα","Φανερωμένης 143","Έναντι Αποθήκης Σόλων Νεοφύτου","Λάρνακα",24654380,"24624699"
17/02/21,"Τετάρτη",697,"Δημητρίου","Ανδρέας","Αρχ. Μακαρίου ΙΙΙ 44","Φωτα  ΕΘΝΙΚΗΣ τραπεζας - εναντι SAMSONITE","Λάρνακα",24822422,"24812188"
18/02/21,"Πέμπτη",971,"Ιωαννίδου","Χρυστάλλα","1ης Απριλίου 14",,"Λάρνακα",24650565,"99917405"
18/02/21,"Πέμπτη",461,"Καίμης","Κύπρος","Αρχιεπισκόπου Μακαρίου ΙΙΙ 88","Έναντι PEUGEOT","Λάρνακα",24637044,"24626339"
19/02/21,"Παρασκευή",586,"Μαυρή","Λουίζα","Στρατηγού Τιμάγια 9","Συντεχνιακό φαρμακείο ΠΕΟ","Λάρνακα",24655312,"96720773"
19/02/21,"Παρασκευή",897,"Γρηγοράς","Αντώνης","Κυριάκου Μάτση  14","Θέατρο ""Σκάλα"" κάτω από Διόφαντο","Λάρνακα",24626332,"24657217"
20/02/21,"Σάββατο",500,"Γεωργίου","Λευτέρης","Λεωφ. Αγίων Αναργύρων 50","Πλησίον Τεχνικής Σχολής","Λάρνακα",24631390,"99533388"
20/02/21,"Σάββατο",972,"Θεοφάνους","Δέσπω","Λόρδου Βύρωνος και Γλαύστωνος 1","Έναντι Costa Coffee","Λάρνακα",24622522,"24720083"
21/02/21,"Κυριακή",1113,"Παναγιώτου","Μικαέλλα","Λεωφ. Παπανικολή 39","Απέναντι από το Στάδιο Αντώνης Παπαδόπουλος (Ανόρθωσης)","Λάρνακα",24251166,"24663635"
21/02/21,"Κυριακή",630,"Σεργίου","Ανδρέας","Αρχ. Μακαρίου 9","Πλήσιον Αστυνομικού Σταθμού Λάρνακας","Λάρνακα",24623110,"24530445"
22/02/21,"Δευτέρα",700,"Κληρίδης","Αντώνης","Πατρών 6","Μεταξύ Κεντρικής Συνεργατικής Τράπεζας και φρουταρίας ¨Ζυγός¨","Λάρνακα",24622754,"24367765"
22/02/21,"Δευτέρα",494,"Σταύρου","Μέλιος","Ερμού 41 & Βασιλέως Ευαγόρου 8 ","Έναντι Beauty  Line","Λάρνακα",24628041,"24531731"
23/02/21,"Τρίτη",532,"Ασπρής","Νίκος","Λεωφόρος  Αρτέμιδος 48","Έναντι Ξεν/χείου ΛΑΓΙΩΤΗ","Λάρνακα",24624928,"24622102"
23/02/21,"Τρίτη",328,"Ευλαβή","Κατερίνα","Αρχ. Μακαρίου 65Α","Πλησίον ΤΑΙΠΕΙ Κινέζικο εστιατόριο","Λάρνακα",24656469,"24662689"
24/02/21,"Τετάρτη",1113,"Παναγιώτου","Μικαέλλα","Λεωφ. Παπανικολή 39","Απέναντι από το Στάδιο Αντώνης Παπαδόπουλος (Ανόρθωσης)","Λάρνακα",24251166,"24663635"
24/02/21,"Τετάρτη",773,"Καλαϊτζή","Παναγιώτα","Λεωφ. Λεοντίου Μαχαιρά 20Α","Εναντι πρωην Υπ.Σαρρη νυν SUPER DISCOUNT","Λάρνακα",24651205,"24819102"
25/02/21,"Πέμπτη",1116,"Συμεού","Ελένη","Ραφαήλ Σάντη 15","Απέναντι από κλινική Τίμιου Σταυρού","Λάρνακα",24254008,"99921940"
25/02/21,"Πέμπτη",680,"Ορφανίδης","Μισιέλ","Ερμού 24","Αρχή της Ερμού - 50μ. Από φώτα Ακρόπολης","Λάρνακα",24621360,"24531859"
26/02/21,"Παρασκευή",1109,"Παπανδριανός","Σπύρος","Λεωφ. Γιάννου Κρανιδιώτη 30","Πάρκινγκ ΑΛΦΑ ΜΕΓΑ","Λάρνακα",24660688,"99970233"
26/02/21,"Παρασκευή",461,"Καίμης","Κύπρος","Αρχιεπισκόπου Μακαρίου ΙΙΙ 88","Έναντι PEUGEOT","Λάρνακα",24637044,"24626339"
27/02/21,"Σάββατο",657,"Κουλουμά Δημητρίου","Άννα","Ηνωμένων Εθνών 16Α","Δρόμος Λάρνακας-Λεμεσού","Λάρνακα",24642333,"24661155"
27/02/21,"Σάββατο",570,"Ταμπουλλής","Μιχάλης","Αγίου Λαζάρου 50-52","Πλησίον Εκκλησίας Αγίου Λαζάρου","Λάρνακα",24628869,"24362890"
28/02/21,"Κυριακή",1171,"Καραγιάννη","Άρτεμις","Πηλίου 5","Δρόμος Λεμεσού","Λάρνακα",24624555,"96796010"
28/02/21,"Κυριακή",417,"Ευλαβής","Ανδρέας","Γρηγ. Αυξεντίου και Νικ. Μυλωνά, γωνία","Μέγαρο Κάριδερς, φώτα Αμερικανικής Ακαδημίας","Λάρνακα",24651317,"24662689"
01/03/21,"Δευτέρα",724,"Χριστοφόρου","Ανδρέας","Λαρίσσης 21","Καμάρες - Προς Λεμεσό 400μ. μετά από το Cineplex","Λάρνακα",24364270,"24646753"
01/03/21,"Δευτέρα",720,"Σωκράτους - Κυπριανού","Ελένη","Κιλκίς 15 - 17","Ανδρούλλα Court πλησίον Σχολής Καλογραιών","Λάρνακα",24651035,"24624163"
02/03/21,"Τρίτη",978,"Πασχάλης","Κωνσταντίνος","Λεωφ. Κωνσταντίνου Παλαιολόγου 37","Δρόμος Α.Η.Κ","Λάρνακα",24662233,"99489611"
02/03/21,"Τρίτη",1090,"Ζόππου","Κωνσταντίνος","Λεωφ. Γρηγόρη Αυξεντίου 40","Έναντι Δημοτική Βιβλιοθήκη. Κάτω από κλινική Δρ. Σίμου Κυριακίδη","Λάρνακα",24400450,"24651003"
03/03/21,"Τετάρτη",758,"Καλαϊτζή","Άντρη","Λεωφ. Ηνωμένων Πολιτειών 9","Δρόμος Νέου Νοσοκομείου εκκλησία Αγίου Γεωργίου Κοντού","Λάρνακα",24638387,"24532906"
03/03/21,"Τετάρτη",662,"Σμυρίλλη - Πύλα","Χριστίνα","Νικοδήμου Μυλωνά 12  ","Έναντι Υπεραγοράς ΜΕΤΡΟ","Λάρνακα",24650777,"24821580"
04/03/21,"Πέμπτη",826,"Ιακωβίδης","Σταύρος","Λεωφ. Φανερωμένης αρ. 189-191",,"Λάρνακα",24637499,"24657045"
04/03/21,"Πέμπτη",1040,"Ελευθερίου","Βασιλική","Παύλου Βαλδασερίδη 30","Δρόμος CARREFOUR, έναντι ΖΟΡΠΑΣ","Λάρνακα",24103501,"24103909"
05/03/21,"Παρασκευή",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
05/03/21,"Παρασκευή",599,"Σεβέρης","Μάριος","Παύλου Βαλδασερίδη 8","Πλησίον CARREFOUR","Λάρνακα",24639410,"24662497"
06/03/21,"Σάββατο",282,"Χριστοδούλου","Παύλος","Ερμού 51Γ",,"Λάρνακα",24652702,"24360054"
06/03/21,"Σάββατο",363,"Ανδρέου","Δέσποινα","Λεωφ. Αρτέμιδος 30","Δρόμος Αεροδρομίου","Λάρνακα",24656884,"24361084"
07/03/21,"Κυριακή",588,"Χριστοδούλου","Μαργαρίτα","Γωνία Αρμενικής Εκκλησίας 2","Πλησίον CYTA, Κέντρο πόλεως","Λάρνακα",24652440,"24626763"
07/03/21,"Κυριακή",954,"Περικλέους","Ζόριτσα","Λεωφ. Γρίβα Διγενή 24","Μεταξύ φώτων Δροσιάς και φώτων πυροσβεστικής, έναντι ESSO","Λάρνακα",24624374,"24645918"
08/03/21,"Δευτέρα",743,"Λάμπη","Μαρία","Αρχ. Μακαρίου ΙΙΙ & Γρηγ. Αυξεντίου","Ακάμια Center","Λάρνακα",24626447,"24361185"
